TIME,H2S-ppb,H2S-ppb-zugam,speed-avg,speed-max,vane-avg
11/03/2025 18:46:08,27.0,2.92,0.91,2.01,178.0
11/03/2025 18:50:54,27.67,2.92,0.89,2.01,162.0
11/03/2025 18:56:08,27.93,2.87,1.29,2.68,158.0
11/03/2025 19:00:55,23.68,2.04,1.41,2.68,172.0
11/03/2025 19:06:09,23.4,1.11,1.34,2.35,160.0
11/03/2025 19:10:54,26.63,0.84,0.89,2.35,181.0
11/03/2025 19:16:08,26.18,0.08,0.21,1.34,208.0
11/03/2025 19:21:15,25.91,1.53,0.11,0.67,237.0
11/03/2025 19:30:53,24.94,3.35,0.97,2.01,176.0
11/03/2025 19:36:08,26.3,4.14,1.57,2.35,154.0
11/03/2025 19:40:54,25.6,0.97,1.83,2.68,146.0
11/03/2025 19:46:08,28.44,4.18,1.39,2.68,164.0
11/03/2025 19:50:54,26.17,1.13,2.14,3.69,161.0
11/03/2025 20:56:08,22.29,0.32,1.46,3.35,180.0
11/03/2025 21:06:08,24.49,1.15,1.51,2.68,162.0
11/03/2025 22:26:09,10.28,10.36,1.36,3.35,101.0
11/03/2025 22:56:08,0.0,0.07,1.26,2.68,174.0
11/03/2025 23:06:09,0.0,0.68,0.84,2.35,183.0
11/03/2025 23:10:54,0.0,2.35,1.31,2.35,179.0
11/03/2025 23:16:09,0.0,3.05,1.57,3.35,176.0
11/03/2025 23:21:16,0.0,2.42,1.87,3.35,166.0
11/03/2025 23:26:08,0.0,2.32,2.35,3.35,164.0
11/03/2025 23:30:54,0.0,3.84,1.84,3.02,163.0
11/03/2025 23:36:08,0.0,3.66,1.19,3.35,171.0
11/03/2025 23:40:57,0.0,5.56,1.2,2.35,167.0
11/03/2025 23:46:08,0.0,0.25,1.62,3.02,150.0
11/03/2025 23:50:54,0.0,0.36,1.72,2.68,152.0
11/03/2025 23:56:08,0.0,0.23,2.01,3.02,164.0
12/03/2025 00:00:55,0.0,1.42,1.99,3.35,165.0
12/03/2025 00:06:08,0.0,3.73,2.06,3.35,168.0
12/03/2025 00:10:57,0.0,3.15,2.05,3.69,172.0
12/03/2025 00:16:07,0.0,2.75,1.27,3.02,174.0
12/03/2025 00:21:14,0.0,2.67,1.09,2.35,188.0
12/03/2025 00:26:08,0.0,6.03,0.59,1.68,189.0
12/03/2025 00:30:56,0.0,3.81,0.79,1.68,206.0
12/03/2025 00:36:08,0.0,1.94,0.36,1.68,204.0
12/03/2025 00:40:54,0.0,2.26,0.21,1.01,257.0
12/03/2025 00:46:08,0.0,0.74,0.04,0.67,283.0
12/03/2025 00:50:55,0.0,0.5,0.0,0.0,0.0
12/03/2025 00:56:08,0.0,0.83,0.0,0.0,0.0
12/03/2025 01:00:54,0.0,0.36,0.2,0.67,263.0
12/03/2025 01:06:08,0.0,2.91,0.24,0.67,218.0
12/03/2025 01:16:08,0.0,0.53,0.03,0.67,214.0
12/03/2025 01:26:08,0.0,1.05,0.0,0.0,0.0
12/03/2025 01:30:54,0.0,1.95,0.0,0.0,0.0
12/03/2025 01:36:09,0.0,2.66,0.21,0.67,291.0
12/03/2025 01:50:53,0.0,3.04,0.21,1.01,236.0
12/03/2025 01:56:08,0.0,0.7,0.32,0.67,184.0
12/03/2025 02:00:54,0.0,1.67,0.39,0.67,163.0
12/03/2025 02:06:08,0.0,1.01,0.44,0.67,155.0
12/03/2025 02:10:56,0.0,0.5,0.49,1.01,122.0
12/03/2025 02:16:07,0.0,0.13,0.7,1.01,124.0
12/03/2025 02:26:09,0.0,5.37,1.06,2.01,162.0
12/03/2025 02:36:09,0.0,2.35,0.36,2.01,182.0
12/03/2025 02:40:57,0.0,1.13,0.48,1.34,210.0
12/03/2025 02:46:09,0.0,0.64,0.32,1.34,194.0
12/03/2025 02:50:58,0.0,2.41,0.01,0.34,177.0
12/03/2025 02:56:08,0.0,4.11,0.0,0.0,0.0
12/03/2025 03:00:56,0.0,6.44,0.2,0.67,176.0
12/03/2025 03:06:09,0.0,4.84,0.52,1.01,166.0
12/03/2025 03:10:54,0.0,1.04,0.52,1.01,160.0
12/03/2025 03:16:08,0.0,1.47,0.24,0.67,160.0
12/03/2025 03:21:14,0.0,3.59,0.0,0.0,0.0
12/03/2025 03:26:09,0.0,35.14,0.0,0.0,0.0
12/03/2025 03:30:57,0.0,2.55,0.0,0.0,0.0
12/03/2025 03:36:09,0.0,1.88,0.0,0.0,0.0
12/03/2025 03:40:54,0.0,1.53,0.12,0.67,160.0
12/03/2025 03:46:08,0.0,2.64,0.69,1.01,160.0
12/03/2025 03:50:55,0.0,0.36,0.7,1.01,160.0
12/03/2025 04:00:58,0.0,1.75,0.17,0.67,184.0
12/03/2025 04:06:08,0.0,1.84,0.33,0.67,183.0
12/03/2025 04:10:55,0.0,1.19,0.46,1.01,181.0
12/03/2025 04:16:09,0.0,0.13,0.35,0.67,165.0
12/03/2025 04:21:14,0.0,0.09,0.09,0.67,166.0
12/03/2025 04:26:08,0.0,5.34,0.05,0.34,166.0
12/03/2025 04:30:55,0.0,5.32,0.0,0.0,0.0
12/03/2025 04:36:07,0.0,3.31,0.0,0.0,0.0
12/03/2025 04:40:53,0.0,2.37,0.0,0.0,0.0
12/03/2025 04:46:08,0.0,3.18,0.0,0.0,0.0
12/03/2025 04:50:57,0.0,4.75,0.0,0.0,0.0
12/03/2025 04:56:09,0.0,0.81,0.0,0.0,0.0
12/03/2025 05:00:55,0.0,3.82,0.0,0.0,0.0
12/03/2025 05:06:09,0.0,3.91,0.0,0.0,0.0
12/03/2025 05:10:53,0.0,4.62,0.0,0.0,0.0
