TIME,CH3SH PPB Médio,CH3SH PPB Máximo,CH3SH PPB Mínimo,CH3SH uG Médio
2026-03-24 03:39:29,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 04:09:35,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 04:39:41,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 05:09:47,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 05:39:54,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 06:10:00,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 06:40:06,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 07:10:13,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 07:40:19,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 08:10:25,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 08:40:31,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 09:10:37,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 09:40:43,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 10:10:49,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 10:41:07,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 11:11:13,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 11:41:19,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-24 12:11:26,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-24 12:41:32,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-24 13:11:38,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-24 13:41:44,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-24 14:11:51,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-24 14:41:57,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-24 15:12:08,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-24 15:42:15,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-24 16:12:21,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-24 16:42:27,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-24 17:12:34,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-24 17:42:40,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-24 18:12:46,3 ppb,7 ppb,1 ppb,514 ppb
2026-03-24 18:42:52,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 19:12:58,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 19:43:10,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 20:13:16,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 20:43:22,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 21:13:29,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 21:43:35,3 ppb,7 ppb,1 ppb,515 ppb
2026-03-24 22:13:41,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 22:43:47,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 23:13:54,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-24 23:44:00,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-25 00:14:06,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-25 00:44:12,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-25 01:14:18,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-25 01:44:24,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-25 02:14:31,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-25 02:44:37,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-25 03:14:43,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-25 03:44:49,3 ppb,7 ppb,1 ppb,516 ppb
2026-03-25 04:14:56,3 ppb,7 ppb,1 ppb,517 ppb
2026-03-25 04:45:02,3 ppb,7 ppb,1 ppb,517 ppb
2026-03-25 05:15:13,3 ppb,7 ppb,1 ppb,517 ppb
2026-03-25 05:45:20,3 ppb,7 ppb,1 ppb,517 ppb
2026-03-25 06:15:26,3 ppb,7 ppb,1 ppb,517 ppb
2026-03-25 06:45:32,3 ppb,7 ppb,1 ppb,517 ppb
2026-03-25 07:15:38,3 ppb,7 ppb,1 ppb,517 ppb
2026-03-25 07:45:45,3 ppb,7 ppb,1 ppb,517 ppb
2026-03-25 08:15:51,3 ppb,7 ppb,1 ppb,517 ppb
2026-03-25 08:45:57,3 ppb,7 ppb,1 ppb,517 ppb
2026-03-25 09:16:03,3 ppb,7 ppb,1 ppb,517 ppb
2026-03-25 09:46:10,3 ppb,7 ppb,1 ppb,518 ppb
2026-03-25 10:16:16,3 ppb,7 ppb,1 ppb,519 ppb
2026-03-25 10:46:22,3 ppb,7 ppb,1 ppb,520 ppb
2026-03-25 11:16:28,3 ppb,7 ppb,1 ppb,521 ppb
2026-03-25 11:38:02,0 ppb,0 ppb,0 ppb,0 ppb
2026-03-25 11:40:07,0 ppb,0 ppb,0 ppb,0 ppb
2026-03-25 11:42:07,0 ppb,0 ppb,0 ppb,0 ppb
2026-03-25 11:49:55,4 ppb,7 ppb,1 ppb,696 ppb
2026-03-25 11:51:06,2 ppb,6 ppb,1 ppb,348 ppb
2026-03-25 11:52:12,4 ppb,7 ppb,1 ppb,696 ppb
