TIME,NH3 PPB Médio,NH3 PPB Máximo,NH3 PPB Mínimo,NH3 uG Médio
2026-03-25 01:14:18,188 ppb,195 ppb,171 ppb,11455 ppb
2026-03-25 01:44:24,186 ppb,200 ppb,179 ppb,11334 ppb
2026-03-25 02:14:31,205 ppb,215 ppb,196 ppb,12494 ppb
2026-03-25 02:44:37,211 ppb,218 ppb,206 ppb,12862 ppb
2026-03-25 03:14:43,219 ppb,222 ppb,214 ppb,13351 ppb
2026-03-25 03:44:49,223 ppb,227 ppb,219 ppb,13598 ppb
2026-03-25 04:14:56,225 ppb,230 ppb,222 ppb,13721 ppb
2026-03-25 04:45:02,228 ppb,234 ppb,222 ppb,13907 ppb
2026-03-25 05:15:13,229 ppb,235 ppb,224 ppb,13970 ppb
2026-03-25 05:45:20,228 ppb,236 ppb,225 ppb,13911 ppb
2026-03-25 06:15:26,228 ppb,234 ppb,210 ppb,13912 ppb
2026-03-25 06:45:32,210 ppb,218 ppb,170 ppb,12816 ppb
2026-03-25 07:15:38,214 ppb,218 ppb,210 ppb,13062 ppb
2026-03-25 07:45:45,211 ppb,218 ppb,205 ppb,12879 ppb
2026-03-25 08:15:51,213 ppb,221 ppb,205 ppb,13000 ppb
2026-03-25 08:45:57,159 ppb,220 ppb,9 ppb,9702 ppb
2026-03-25 09:16:03,58 ppb,337 ppb,1 ppb,3538 ppb
2026-03-25 09:46:10,303 ppb,408 ppb,224 ppb,18526 ppb
2026-03-25 10:16:16,221 ppb,302 ppb,176 ppb,13550 ppb
2026-03-25 10:46:22,164 ppb,235 ppb,109 ppb,10073 ppb
2026-03-25 11:16:28,112 ppb,162 ppb,68 ppb,6885 ppb
2026-03-25 11:38:02,0 ppb,0 ppb,0 ppb,0 ppb
2026-03-25 11:40:07,0 ppb,0 ppb,0 ppb,0 ppb
2026-03-25 11:42:07,0 ppb,0 ppb,0 ppb,0 ppb
2026-03-25 11:49:55,66 ppb,108 ppb,1 ppb,4069 ppb
2026-03-25 11:51:06,45 ppb,51 ppb,42 ppb,2774 ppb
2026-03-25 11:52:12,51 ppb,55 ppb,46 ppb,3143 ppb
2026-03-25 11:53:18,46 ppb,48 ppb,46 ppb,2834 ppb
2026-03-25 11:54:25,45 ppb,54 ppb,37 ppb,2773 ppb
2026-03-25 11:55:31,40 ppb,44 ppb,37 ppb,2464 ppb
2026-03-25 11:56:37,39 ppb,44 ppb,35 ppb,2403 ppb
2026-03-25 11:57:43,39 ppb,44 ppb,33 ppb,2402 ppb
2026-03-25 11:58:49,47 ppb,50 ppb,44 ppb,2895 ppb
2026-03-25 11:59:56,50 ppb,54 ppb,49 ppb,3080 ppb
2026-03-25 12:02:22,46 ppb,78 ppb,1 ppb,3201 ppb
2026-03-25 12:03:33,44 ppb,62 ppb,36 ppb,3061 ppb
2026-03-25 12:05:44,0 ppb,0 ppb,0 ppb,0 ppb
2026-03-25 12:07:45,0 ppb,0 ppb,0 ppb,0 ppb
2026-03-25 12:14:00,40 ppb,86 ppb,1 ppb,28 ppb
2026-03-25 12:15:18,30 ppb,31 ppb,29 ppb,21 ppb
2026-03-25 12:16:24,49 ppb,64 ppb,33 ppb,34 ppb
2026-03-25 12:17:30,68 ppb,74 ppb,65 ppb,47 ppb
2026-03-25 12:18:36,87 ppb,93 ppb,77 ppb,61 ppb
2026-03-25 12:19:43,91 ppb,96 ppb,87 ppb,63 ppb
2026-03-25 12:20:49,73 ppb,86 ppb,67 ppb,51 ppb
2026-03-25 12:21:55,68 ppb,70 ppb,67 ppb,47 ppb
2026-03-25 12:43:21,50 ppb,150 ppb,1 ppb,35 ppb
2026-03-25 12:53:32,51 ppb,70 ppb,32 ppb,35 ppb
2026-03-25 13:03:38,60 ppb,71 ppb,52 ppb,42 ppb
2026-03-25 13:13:45,49 ppb,63 ppb,35 ppb,34 ppb
2026-03-25 13:23:51,34 ppb,53 ppb,23 ppb,24 ppb
2026-03-25 13:33:57,45 ppb,58 ppb,29 ppb,31 ppb
2026-03-25 13:44:04,43 ppb,53 ppb,38 ppb,30 ppb
2026-03-25 13:54:10,34 ppb,47 ppb,28 ppb,23 ppb
2026-03-25 14:04:16,33 ppb,40 ppb,22 ppb,23 ppb
2026-03-25 14:14:28,34 ppb,45 ppb,26 ppb,23 ppb
2026-03-25 14:24:34,42 ppb,52 ppb,33 ppb,29 ppb
2026-03-25 14:34:40,49 ppb,58 ppb,40 ppb,34 ppb
2026-03-25 14:44:47,73 ppb,83 ppb,58 ppb,50 ppb
2026-03-25 14:54:58,126 ppb,273 ppb,75 ppb,87 ppb
2026-03-25 15:05:33,239 ppb,382 ppb,1 ppb,165 ppb
2026-03-25 18:11:02,,,,
2026-03-25 18:41:40,52 ppb,57 ppb,49 ppb,36 ppb
2026-03-25 18:41:40,52 ppb,57 ppb,49 ppb,36 ppb
2026-03-25 19:11:46,66 ppb,78 ppb,55 ppb,45 ppb
2026-03-25 19:11:46,66 ppb,78 ppb,55 ppb,45 ppb
2026-03-25 19:41:52,81 ppb,86 ppb,73 ppb,56 ppb
2026-03-25 19:41:52,81 ppb,86 ppb,73 ppb,56 ppb
2026-03-25 20:11:58,85 ppb,96 ppb,80 ppb,59 ppb
2026-03-25 20:11:58,85 ppb,96 ppb,80 ppb,59 ppb
2026-03-25 20:42:04,89 ppb,96 ppb,83 ppb,61 ppb
2026-03-25 21:12:10,94 ppb,124 ppb,78 ppb,65 ppb
2026-03-25 21:42:17,114 ppb,130 ppb,103 ppb,79 ppb
2026-03-25 21:42:17,114 ppb,130 ppb,103 ppb,79 ppb
