TIME,Direção do vento
2026-04-03 18:06:05,0
2026-04-03 18:36:11,0
2026-04-03 19:06:17,0
2026-04-03 19:36:24,0
2026-04-03 20:06:29,0
2026-04-03 20:06:29,0
2026-04-03 20:36:36,0
2026-04-03 21:06:42,0
2026-04-03 21:06:42,0
2026-04-03 22:06:54,0
2026-04-03 22:37:01,0
2026-04-03 22:37:01,0
2026-04-03 23:07:18,0
2026-04-03 23:37:24,0
2026-04-03 23:37:24,0
2026-04-04 00:07:30,0
2026-04-04 00:37:36,0
2026-04-04 00:37:36,0
2026-04-04 01:07:43,0
2026-04-04 01:37:49,0
2026-04-04 02:07:55,0
2026-04-04 02:38:01,0
2026-04-04 03:08:08,0
2026-04-04 03:08:08,0
2026-04-04 03:38:14,0
2026-04-04 04:08:20,0
2026-04-04 04:38:27,0
2026-04-04 05:08:33,0
2026-04-04 05:08:33,0
2026-04-04 05:38:39,0
2026-04-04 06:08:45,0
2026-04-04 06:38:51,0
2026-04-04 06:38:51,0
2026-04-04 07:08:58,0
2026-04-04 07:08:58,0
2026-04-04 07:39:03,0
2026-04-04 08:09:10,0
2026-04-04 08:39:22,0
2026-04-04 09:09:28,0
2026-04-04 09:09:28,0
2026-04-04 10:09:41,0
2026-04-04 11:09:53,0
2026-04-04 11:39:59,0
2026-04-04 12:10:05,0
2026-04-04 12:10:05,0
2026-04-04 12:10:05,0
2026-04-04 12:40:11,0
2026-04-04 12:40:11,0
2026-04-04 13:10:17,0
2026-04-04 13:10:17,0
2026-04-04 13:40:24,0
2026-04-04 14:10:35,0
2026-04-04 14:10:36,0
2026-04-04 14:40:48,0
2026-04-04 15:11:01,0
2026-04-04 15:41:14,0
2026-04-04 15:41:14,0
2026-04-04 15:41:14,0
2026-04-04 16:11:27,0
2026-04-04 16:11:27,0
2026-04-04 16:41:46,0
2026-04-04 17:11:57,0
2026-04-04 17:11:57,0
2026-04-04 17:42:04,0
2026-04-04 17:42:04,0
2026-04-04 18:12:10,0
2026-04-04 18:42:16,0
2026-04-04 19:12:22,0
2026-04-04 19:42:28,0
2026-04-04 19:42:28,0
2026-04-04 19:42:28,0
2026-04-04 20:12:34,0
2026-04-04 20:42:41,0
2026-04-04 21:12:47,0
2026-04-04 21:12:47,0
2026-04-04 21:12:47,0
2026-04-04 21:42:53,0
2026-04-04 21:42:53,0
2026-04-04 21:42:53,0
2026-04-04 22:13:00,0
2026-04-04 22:43:06,0
2026-04-04 23:13:12,0
2026-04-04 23:13:12,0
2026-04-04 23:43:18,0
2026-04-04 23:43:18,0
2026-04-04 23:43:18,0
2026-04-05 00:13:24,0
2026-04-05 00:13:24,0
2026-04-05 00:43:30,0
2026-04-05 01:13:37,0
2026-04-05 01:43:43,0
2026-04-05 01:43:43,0
2026-04-05 01:43:43,0
2026-04-05 02:13:49,0
2026-04-05 02:43:55,0
2026-04-05 03:14:07,0
2026-04-05 04:14:20,0
2026-04-05 04:14:20,0
2026-04-05 05:14:32,0
2026-04-05 05:14:32,0
2026-04-05 05:44:38,0
2026-04-05 06:14:44,0
2026-04-05 06:44:51,0
2026-04-05 06:44:51,0
2026-04-05 06:44:51,0
2026-04-05 07:14:57,0
2026-04-05 07:45:03,0
2026-04-05 07:45:03,0
2026-04-05 08:15:09,0
2026-04-05 08:45:27,0
2026-04-05 09:15:39,0
2026-04-05 09:45:53,0
2026-04-05 10:16:05,0
2026-04-05 10:46:18,0
2026-04-05 11:16:36,0
2026-04-05 11:16:36,0
2026-04-05 11:46:43,0
2026-04-05 12:16:49,0
2026-04-05 12:46:55,0
2026-04-05 13:17:01,0
2026-04-05 13:47:08,0
2026-04-05 14:17:14,0
2026-04-05 14:47:20,0
2026-04-05 14:47:20,0
2026-04-05 15:17:26,0
2026-04-05 15:17:26,0
2026-04-05 15:47:33,0
2026-04-05 16:17:39,0
2026-04-05 16:47:45,0
2026-04-05 17:17:57,0
2026-04-05 17:17:57,0
2026-04-05 17:48:03,0
2026-04-05 17:48:03,0
2026-04-05 18:18:09,0
2026-04-05 18:48:15,0
2026-04-05 18:48:15,0
2026-04-05 19:18:22,0
2026-04-05 19:48:28,0
2026-04-05 19:48:28,0
2026-04-05 20:18:39,0
2026-04-05 20:48:46,0
2026-04-05 20:48:46,0
2026-04-05 21:18:52,0
2026-04-05 21:48:58,0
2026-04-05 21:48:58,0
2026-04-05 22:19:04,0
2026-04-05 22:49:11,0
2026-04-05 23:19:17,0
2026-04-05 23:49:23,0
2026-04-05 23:49:23,0
2026-04-06 00:19:29,0
2026-04-06 00:19:29,0
2026-04-06 00:49:35,0
2026-04-06 01:19:42,0
2026-04-06 01:49:48,0
2026-04-06 02:19:54,0
2026-04-06 02:50:00,0
2026-04-06 02:50:00,0
2026-04-06 02:50:00,0
2026-04-06 03:20:07,0
2026-04-06 03:50:13,0
2026-04-06 04:20:19,0
2026-04-06 04:50:25,0
2026-04-06 04:50:25,0
2026-04-06 05:20:31,0
2026-04-06 05:50:49,0
2026-04-06 06:20:55,0
2026-04-06 06:51:01,0
2026-04-06 07:21:07,0
2026-04-06 07:51:14,0
2026-04-06 08:21:20,0
2026-04-06 08:51:26,0
2026-04-06 09:21:32,0
2026-04-06 10:21:45,0
2026-04-06 10:51:51,0
2026-04-06 10:51:51,0
2026-04-06 11:21:57,0
2026-04-06 11:21:57,0
2026-04-06 11:52:03,0
2026-04-06 12:22:10,0
2026-04-06 12:52:16,0
2026-04-06 13:22:22,0
2026-04-06 13:52:28,0
2026-04-06 14:22:34,0
2026-04-06 14:52:41,0
2026-04-06 15:22:47,0
2026-04-06 15:52:59,0
2026-04-06 16:23:05,0
2026-04-06 16:23:05,0
2026-04-06 16:53:11,0
2026-04-06 16:53:11,0
2026-04-06 17:23:23,0
2026-04-06 18:23:36,0
2026-04-06 18:53:42,0
2026-04-06 19:23:48,0
2026-04-06 19:53:54,0
2026-04-06 20:24:00,0
2026-04-06 20:24:00,0
2026-04-06 20:54:06,0
2026-04-06 20:54:06,0
2026-04-06 21:54:19,0
2026-04-06 22:24:37,0
2026-04-06 22:54:43,0
2026-04-06 23:24:57,0
2026-04-06 23:55:09,0
2026-04-07 00:25:22,0
2026-04-07 00:55:42,0
2026-04-07 01:25:54,0
2026-04-07 01:56:05,0
2026-04-07 02:26:32,0
2026-04-07 02:56:45,0
2026-04-07 03:27:04,0
2026-04-07 03:57:16,0
2026-04-07 04:27:29,0
2026-04-07 04:57:42,0
2026-04-07 04:57:42,0
2026-04-07 05:27:54,0
2026-04-07 05:27:54,0
2026-04-07 05:58:07,0
2026-04-07 06:28:19,0
2026-04-07 06:58:25,0
2026-04-07 07:28:32,0
2026-04-07 07:58:38,0
2026-04-07 08:28:44,0
2026-04-07 08:58:50,0
2026-04-07 08:58:50,0
2026-04-07 09:28:56,0
2026-04-07 09:59:03,0
2026-04-07 10:59:15,0
2026-04-07 11:29:21,0
2026-04-07 11:29:21,0
2026-04-07 11:59:28,0
2026-04-07 12:29:34,0
2026-04-07 12:59:40,0
2026-04-07 13:29:46,0
2026-04-07 13:59:53,0
2026-04-07 14:29:59,0
2026-04-07 15:00:05,0
2026-04-07 15:30:11,0
2026-04-07 16:00:17,0
2026-04-07 16:30:30,0
2026-04-07 17:00:36,0
2026-04-07 17:00:36,0
2026-04-07 17:00:36,0
2026-04-07 17:30:47,0
2026-04-07 18:00:54,0
2026-04-07 18:00:54,0
2026-04-07 18:31:00,0
2026-04-07 19:31:12,0
2026-04-07 20:01:18,0
2026-04-07 20:31:25,0
